,Neighbourhood,Neighbourhood Longitude,Neighbourhood Latitude,Venue,Venue Category,Unnamed: 0
0,West Humber-Clairville,43.7161804033,-79.59635645350001,Starbucks,Coffee Shop,
1,West Humber-Clairville,43.7161804033,-79.59635645350001,Williams Fresh Cafe,Café,
2,West Humber-Clairville,43.7161804033,-79.59635645350001,JJ Cafe,Café,
3,West Humber-Clairville,43.7161804033,-79.59635645350001,Humber Cafe,Café,
4,West Humber-Clairville,43.7161804033,-79.59635645350001,GH Cafe,Café,
5,West Humber-Clairville,43.7161804033,-79.59635645350001,Williams Coffee Pub,Café,
6,West Humber-Clairville,43.7161804033,-79.59635645350001,Tim Hortons,Café,
7,West Humber-Clairville,43.7161804033,-79.59635645350001,Hoofbeats Lounge,Café,
8,West Humber-Clairville,43.7161804033,-79.59635645350001,tim hortons,Café,
9,Mount Olive-Silverstone-Jamestown,43.7468678027,-79.58725926460002,Top Donut,Café,
10,Mount Olive-Silverstone-Jamestown,43.7468678027,-79.58725926460002,Nanas,Café,
11,Mount Olive-Silverstone-Jamestown,43.7468678027,-79.58725926460002,Starbucks,Coffee Shop,
12,Thistletown-Beaumond Heights,43.737987917299996,-79.56349101720001,Panino Cappuccino,Café,
13,Thistletown-Beaumond Heights,43.737987917299996,-79.56349101720001,Nanas,Café,
14,Thistletown-Beaumond Heights,43.737987917299996,-79.56349101720001,Granny's Coffee Shop,Café,
15,Rexdale-Kipling,43.72372547720001,-79.5662284127,Second Cup,Café,
16,Rexdale-Kipling,43.72372547720001,-79.5662284127,Granny's Coffee Shop,Café,
17,Elms-Old Rexdale,43.721518868400004,-79.54898271649999,Watts Cafe,Café,
18,Elms-Old Rexdale,43.721518868400004,-79.54898271649999,Cafe Wi-Fi,Café,
19,Elms-Old Rexdale,43.721518868400004,-79.54898271649999,Second Cup,Café,
20,Elms-Old Rexdale,43.721518868400004,-79.54898271649999,Sky Cafe,Café,
21,Kingsview Village-The Westway,43.69899257220001,-79.5478633059,Starbucks,Coffee Shop,
22,Kingsview Village-The Westway,43.69899257220001,-79.5478633059,Watts Cafe,Café,
23,Kingsview Village-The Westway,43.69899257220001,-79.5478633059,Cafe Wi-Fi,Café,
24,Kingsview Village-The Westway,43.69899257220001,-79.5478633059,Second Cup,Café,
25,Kingsview Village-The Westway,43.69899257220001,-79.5478633059,Sky Cafe,Café,
26,Willowridge-Martingrove-Richview,43.683644963,-79.5542210494,Starbucks,Coffee Shop,
27,Willowridge-Martingrove-Richview,43.683644963,-79.5542210494,Second Cup Coffee Co. featuring Pinkberry Frozen Yogurt,Café,
28,Willowridge-Martingrove-Richview,43.683644963,-79.5542210494,Toast Terminal 3,Café,
29,Willowridge-Martingrove-Richview,43.683644963,-79.5542210494,Timothy's World News Cafe,Café,
30,Humber Heights-Westmount,43.6922328007,-79.5224162029,Zaza Espresso Bar,Café,
31,Humber Heights-Westmount,43.6922328007,-79.5224162029,7-Eleven,Convenience Store,
32,Humber Heights-Westmount,43.6922328007,-79.5224162029,Starbucks,Coffee Shop,
33,Humber Heights-Westmount,43.6922328007,-79.5224162029,Perfect Blend Bakery & Espresso Bar,Café,
34,Humber Heights-Westmount,43.6922328007,-79.5224162029,Westpark Healthcare Cafeteria,Café,
35,Edenbridge-Humber Valley,43.6708859094,-79.5224577643,Java Joe's Village Cafe,Café,
36,Edenbridge-Humber Valley,43.6708859094,-79.5224577643,Zaza Espresso Bar,Café,
